feature value
Affinity  -6.72020
Term1 32.18949
Term2 -70.32977
Term3 1.28553
Term4 0.23952
Term5 70.28012
Term6 101.42194
Term7 129.62437
Term8 177.53182
Term9 176.16689
Term10 240.90659
Term11 111.89760
Term12 223.94773
Term13 310.60719
Term14 153.46593
Term15 313.63813
Term16 451.81551
Term17 198.25901
Term18 400.41775
Term19 592.32878
Term20 823.04866
Term21 357.56173
Term22 666.27769
Term23 988.55481
Term24 1188.25775
Term25 980.46282
Term26 521.83940
Term27 890.76881
Term28 1237.02708
Term29 1374.51412
Term30 1151.35726
Term31 878.78406
Term32 1245.28131
Term33 1517.93052
Term34 1582.25411
Term35 1398.21942
Term36 25.75136
Term37 12.32698
Term38 5.25931
Term39 1.89131
Term40 0.53123
Term41 0.09493
Term42 0.00000
Term43 0.00000
Term44 22.01073
Term45 35.40607
Term46 49.97873
Term47 84.21002
Term48 124.89479
Term49 -538.40271
Term50 7.03496
Term51 7.78463
Term52 8.94357
Term53  13.50000
Term54  11.50000
Term55  33.00000
Term56  14.00000
Term57  9.00000
Term58  10.00000
